time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-22 00:00:00+00:00,15,11,27,16
2023-02-23 00:00:00+00:00,13,9,66,12
2023-02-24 00:00:00+00:00,6,5,11,7
2023-02-25 00:00:00+00:00,2,2,30,3
2023-02-26 00:00:00+00:00,17,8,31,10
2023-02-27 00:00:00+00:00,2,2,5,3
2023-02-28 00:00:00+00:00,31,12,42,16
2023-03-01 00:00:00+00:00,8,7,10,7
2023-03-02 00:00:00+00:00,17,8,19,8
2023-03-03 00:00:00+00:00,10,6,30,11
2023-03-04 00:00:00+00:00,10,4,10,5
2023-03-05 00:00:00+00:00,3,3,1,1
2023-03-06 00:00:00+00:00,5,5,26,11
2023-03-07 00:00:00+00:00,6,5,20,12
2023-03-08 00:00:00+00:00,9,6,48,15
2023-03-09 00:00:00+00:00,12,8,57,14
2023-03-10 00:00:00+00:00,7,4,21,7
2023-03-11 00:00:00+00:00,3,3,8,2
2023-03-12 00:00:00+00:00,2,2,3,1
2023-03-13 00:00:00+00:00,6,6,10,7
2023-03-14 00:00:00+00:00,3,3,21,11
2023-03-15 00:00:00+00:00,4,3,35,14
2023-03-16 00:00:00+00:00,26,13,77,18
2023-03-17 00:00:00+00:00,6,4,32,8
2023-03-18 00:00:00+00:00,8,4,14,4
2023-03-19 00:00:00+00:00,8,3,12,6
2023-03-20 00:00:00+00:00,6,3,20,5
2023-03-21 00:00:00+00:00,11,7,48,20
2023-03-22 00:00:00+00:00,11,4,38,12
2023-03-23 00:00:00+00:00,4,3,11,5
2023-03-24 00:00:00+00:00,3,3,3,2
2023-03-25 00:00:00+00:00,2,2,0,0
2023-03-26 00:00:00+00:00,1,1,2,2
2023-03-27 00:00:00+00:00,3,3,5,4
2023-03-28 00:00:00+00:00,4,3,16,7
2023-03-29 00:00:00+00:00,7,4,7,4
2023-03-30 00:00:00+00:00,13,6,6,6
2023-03-31 00:00:00+00:00,4,4,8,5
2023-04-01 00:00:00+00:00,7,4,6,3
2023-04-02 00:00:00+00:00,41,14,98,3
2023-04-03 00:00:00+00:00,89,18,280,9
2023-04-04 00:00:00+00:00,14,11,76,21
2023-04-05 00:00:00+00:00,22,13,61,9
2023-04-06 00:00:00+00:00,19,9,61,15
2023-04-07 00:00:00+00:00,2,2,15,9
2023-04-08 00:00:00+00:00,3,3,1,1
2023-04-09 00:00:00+00:00,8,6,26,2
2023-04-10 00:00:00+00:00,4,4,16,7
2023-04-11 00:00:00+00:00,6,5,19,13
2023-04-12 00:00:00+00:00,7,6,45,14
2023-04-13 00:00:00+00:00,22,12,42,15
2023-04-14 00:00:00+00:00,4,4,32,11
2023-04-15 00:00:00+00:00,11,8,26,5
2023-04-16 00:00:00+00:00,13,4,10,4
2023-04-17 00:00:00+00:00,10,8,60,26
2023-04-18 00:00:00+00:00,49,15,147,42
2023-04-19 00:00:00+00:00,22,9,69,11
2023-04-20 00:00:00+00:00,18,7,32,13
2023-04-21 00:00:00+00:00,150,17,203,20
2023-04-22 00:00:00+00:00,40,13,158,8
2023-04-23 00:00:00+00:00,28,12,40,7
2023-04-24 00:00:00+00:00,15,11,49,12
2023-04-25 00:00:00+00:00,23,9,97,13
2023-04-26 00:00:00+00:00,23,13,73,13
2023-04-27 00:00:00+00:00,15,11,64,11
2023-04-28 00:00:00+00:00,28,12,51,7
2023-04-29 00:00:00+00:00,5,4,27,7
2023-04-30 00:00:00+00:00,30,14,68,6
2023-05-01 00:00:00+00:00,32,10,84,9
2023-05-02 00:00:00+00:00,42,17,105,24
2023-05-03 00:00:00+00:00,33,17,103,21
2023-05-04 00:00:00+00:00,40,14,208,28
2023-05-05 00:00:00+00:00,5,4,36,20
2023-05-06 00:00:00+00:00,9,6,21,6
2023-05-07 00:00:00+00:00,12,8,65,14
2023-05-08 00:00:00+00:00,33,12,97,9
2023-05-09 00:00:00+00:00,16,10,77,14
2023-05-10 00:00:00+00:00,9,6,23,12
2023-05-11 00:00:00+00:00,16,6,149,15
2023-05-12 00:00:00+00:00,9,7,49,13
2023-05-13 00:00:00+00:00,4,2,5,3
2023-05-14 00:00:00+00:00,4,3,28,5
2023-05-15 00:00:00+00:00,11,8,37,8
2023-05-16 00:00:00+00:00,18,12,51,19
2023-05-17 00:00:00+00:00,15,9,36,14
2023-05-18 00:00:00+00:00,6,6,15,10
2023-05-19 00:00:00+00:00,9,7,30,11
2023-05-20 00:00:00+00:00,6,4,3,2
2023-05-21 00:00:00+00:00,8,5,9,5
2023-05-22 00:00:00+00:00,9,6,28,13
2023-05-23 00:00:00+00:00,6,6,24,14
2023-05-24 00:00:00+00:00,5,4,26,13
2023-05-25 00:00:00+00:00,11,7,53,10
2023-05-26 00:00:00+00:00,5,4,30,8
2023-05-27 00:00:00+00:00,4,4,14,3
2023-05-28 00:00:00+00:00,6,4,34,7
2023-05-29 00:00:00+00:00,12,10,45,9
2023-05-30 00:00:00+00:00,11,7,74,13
2023-05-31 00:00:00+00:00,32,16,114,12
2023-06-01 00:00:00+00:00,10,6,34,14
2023-06-02 00:00:00+00:00,9,6,25,9
2023-06-03 00:00:00+00:00,4,4,5,4
2023-06-04 00:00:00+00:00,4,3,26,6
2023-06-05 00:00:00+00:00,23,9,120,18
2023-06-06 00:00:00+00:00,16,11,73,17
2023-06-07 00:00:00+00:00,9,7,61,13
2023-06-08 00:00:00+00:00,15,11,88,16
2023-06-09 00:00:00+00:00,17,8,99,18
2023-06-10 00:00:00+00:00,3,3,15,5
2023-06-11 00:00:00+00:00,2,2,21,6
2023-06-12 00:00:00+00:00,7,6,45,10
2023-06-13 00:00:00+00:00,2,2,18,12
2023-06-14 00:00:00+00:00,10,7,47,20
2023-06-15 00:00:00+00:00,5,5,17,11
2023-06-16 00:00:00+00:00,5,4,10,6
2023-06-17 00:00:00+00:00,3,3,30,5
2023-06-18 00:00:00+00:00,2,2,14,5
2023-06-19 00:00:00+00:00,11,8,53,8
2023-06-20 00:00:00+00:00,20,10,77,17
2023-06-21 00:00:00+00:00,14,8,46,13
2023-06-22 00:00:00+00:00,24,14,83,17
2023-06-23 00:00:00+00:00,10,7,28,15
2023-06-24 00:00:00+00:00,3,3,12,6
2023-06-25 00:00:00+00:00,1,1,11,3
2023-06-26 00:00:00+00:00,4,4,38,13
2023-06-27 00:00:00+00:00,12,9,105,18
2023-06-28 00:00:00+00:00,31,14,120,13
2023-06-29 00:00:00+00:00,6,5,14,10
2023-06-30 00:00:00+00:00,4,4,25,12
2023-07-01 00:00:00+00:00,9,7,15,7
2023-07-02 00:00:00+00:00,3,3,12,5
2023-07-03 00:00:00+00:00,14,10,70,13
2023-07-04 00:00:00+00:00,22,12,90,12
2023-07-05 00:00:00+00:00,11,7,51,16
2023-07-06 00:00:00+00:00,8,6,38,15
2023-07-07 00:00:00+00:00,10,7,39,12
2023-07-08 00:00:00+00:00,4,4,28,6
2023-07-09 00:00:00+00:00,6,5,38,8
2023-07-10 00:00:00+00:00,12,10,87,17
2023-07-11 00:00:00+00:00,17,9,24,12
2023-07-12 00:00:00+00:00,16,9,108,19
